UNITID,SURVSECT,PART,TENURE,RANK,RACEETHNICITYSEX,COUNT,ReviewStatus,ISMEDICAL,INSTFUNCTION,OCCCATEGORY1,OCCCATEGORY4,OCCCATEGORY3,OCCCATEGORY5,SEX,12mCount,11mCount,10mCount,9mCount,LessThan9mCount,TotalStaff,TotalStaffSalary,12mSoutlays,11mSoutlays,10mSoutlays,9mSoutlays,Equated_9mSoutlays,OCCCATEGORY2,SOUTLAYS
999999,HR1,A1,2,4,12,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,2,2,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,5,8,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,3,14,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,1,4,10,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,4,2,16,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,3,5,6,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A1,2,3,12,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,2,,,16,Generated from governed source mart,0,2,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,3,,,16,Generated from governed source mart,0,3,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,4,,,16,Generated from governed source mart,0,4,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,1,,,16,Generated from governed source mart,0,5,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,3,,,16,Generated from governed source mart,0,2,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,4,,,16,Generated from governed source mart,0,3,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,1,,,16,Generated from governed source mart,0,4,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,2,,,16,Generated from governed source mart,0,5,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,4,,,15,Generated from governed source mart,0,2,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,1,,,15,Generated from governed source mart,0,3,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,2,,,15,Generated from governed source mart,0,4,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,3,,,15,Generated from governed source mart,0,5,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,1,,,15,Generated from governed source mart,0,2,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,2,,,15,Generated from governed source mart,0,3,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,3,,,15,Generated from governed source mart,0,4,,,,,,,,,,,,,,,,,,,
999999,HR1,A2,4,,,15,Generated from governed source mart,0,5,,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,15,3,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,2,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,3,2,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,5,3,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,9,3,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,11,2,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,14,2,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,15,3,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,4,2,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,5,2,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,7,3,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,10,2,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,13,3,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,16,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,1,2,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,3,2,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,7,3,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,9,2,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,12,2,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,13,3,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,2,2,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,3,2,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,5,3,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,8,2,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,11,3,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,14,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,15,2,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,1,2,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,5,3,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,7,2,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,10,2,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,11,3,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,16,2,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,1,2,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,3,3,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,6,2,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,9,3,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,12,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,13,2,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,15,2,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,3,3,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,5,2,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,8,2,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,9,3,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,14,2,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,1,3,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,4,2,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,7,3,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,10,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,13,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,1,2,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,3,2,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,6,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,12,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,15,2,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,2,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,5,2,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,8,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,11,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,15,2,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,1,2,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,4,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,10,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,13,2,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,16,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,3,2,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,6,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,9,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,13,2,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,15,2,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,2,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,8,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,11,2,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,14,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,1,2,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,4,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,7,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,11,2,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,13,2,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,16,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,6,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,12,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,2,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,9,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,11,2,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,14,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,4,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,10,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,16,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,7,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,9,2,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,12,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,2,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,8,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,14,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,5,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,7,2,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,10,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,16,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,6,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,12,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,8,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,6,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,4,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B1,,,2,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B2,3,,,26,Generated from governed source mart,0,,5,,,,,,,,,,,,,,,,,,
999999,HR1,B2,3,,,27,Generated from governed source mart,0,,6,,,,,,,,,,,,,,,,,,
999999,HR1,B2,3,,,26,Generated from governed source mart,0,,7,,,,,,,,,,,,,,,,,,
999999,HR1,B2,3,,,27,Generated from governed source mart,0,,8,,,,,,,,,,,,,,,,,,
999999,HR1,B2,3,,,26,Generated from governed source mart,0,,3,,,,,,,,,,,,,,,,,,
999999,HR1,B2,3,,,26,Generated from governed source mart,0,,4,,,,,,,,,,,,,,,,,,
999999,HR1,B2,3,,,26,Generated from governed source mart,0,,2,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,11,5,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,5,6,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,16,3,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,9,4,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,3,6,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,14,3,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,7,4,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,1,5,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,12,2,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,10,3,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,13,3,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,8,2,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,6,2,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,15,4,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,4,2,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,2,2,Generated from governed source mart,,,1,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,13,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,8,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,1,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,11,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,15,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,9,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,4,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,13,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,7,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,2,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,11,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,5,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,16,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,9,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,14,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,7,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,1,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,12,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,5,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,15,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,10,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,3,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,13,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,8,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,11,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,6,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,15,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,9,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,4,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,13,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,7,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,2,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,11,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,5,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,9,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,3,1,Generated from governed source mart,,,3,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,14,1,Generated from governed source mart,,,8,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,7,1,Generated from governed source mart,,,6,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,1,1,Generated from governed source mart,,,4,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,12,1,Generated from governed source mart,,,2,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,5,1,Generated from governed source mart,,,7,,,,,,,,,,,,,,,,,,
999999,HR1,D1,,,15,1,Generated from governed source mart,,,5,,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,2,1,Generated from governed source mart,,,,1,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,15,1,Generated from governed source mart,,,,2,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,13,1,Generated from governed source mart,,,,3,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,12,1,Generated from governed source mart,,,,1,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,9,1,Generated from governed source mart,,,,2,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,7,1,Generated from governed source mart,,,,3,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,6,1,Generated from governed source mart,,,,1,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,3,1,Generated from governed source mart,,,,2,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,1,1,Generated from governed source mart,,,,3,,,,,,,,,,,,,,,,,
999999,HR1,D2,,,16,1,Generated from governed source mart,,,,1,,,,,,,,,,,,,,,,,
999999,HR1,D3,2,,,15,Generated from governed source mart,0,,,,1,,,,,,,,,,,,,,,,
999999,HR1,D3,3,,,14,Generated from governed source mart,0,,,,1,,,,,,,,,,,,,,,,
999999,HR1,D3,4,,,13,Generated from governed source mart,0,,,,1,,,,,,,,,,,,,,,,
999999,HR1,D3,1,,,14,Generated from governed source mart,0,,,,1,,,,,,,,,,,,,,,,
999999,HR1,D3,3,,,7,Generated from governed source mart,0,,,,4,,,,,,,,,,,,,,,,
999999,HR1,D3,3,,,6,Generated from governed source mart,0,,,,2,,,,,,,,,,,,,,,,
999999,HR1,D3,3,,,6,Generated from governed source mart,0,,,,7,,,,,,,,,,,,,,,,
999999,HR1,D3,3,,,7,Generated from governed source mart,0,,,,5,,,,,,,,,,,,,,,,
999999,HR1,D3,3,,,5,Generated from governed source mart,0,,,,8,,,,,,,,,,,,,,,,
999999,HR1,D3,3,,,6,Generated from governed source mart,0,,,,6,,,,,,,,,,,,,,,,
999999,HR1,D3,3,,,5,Generated from governed source mart,0,,,,3,,,,,,,,,,,,,,,,
999999,HR1,H1,2,,3,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,H1,3,,5,1,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,H1,4,,8,1,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,H1,1,,9,1,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,H1,3,,14,1,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,H1,4,,15,1,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,H1,1,,1,2,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,H1,2,,4,1,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
999999,HR1,H1,4,,7,1,Generated from governed source mart,,,,,,,,,,,,,,,,,,,,,
