student_id,term_id,program_id,level,attempted_credits,attendance_status,census_enrolled,reportable,academic_status
S0013064,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006038,2020FA,PBA,GR,3,P,1,1,Good Standing
S0007789,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006380,2020FA,PBA,GR,9,F,1,1,Good Standing
S0014587,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012985,2020FA,PBA,GR,9,F,1,1,Good Standing
S0002288,2020FA,PBA,GR,3,P,1,1,Good Standing
S0014105,2020FA,PBA,GR,9,F,1,1,Good Standing
S0007697,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001880,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001213,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001170,2020FA,PBA,GR,3,P,1,1,Good Standing
S0015404,2020FA,PBA,GR,9,F,1,1,Good Standing
S0005404,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012834,2020FA,PBA,GR,9,F,1,1,Good Standing
S0013646,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010827,2020FA,PBA,GR,3,P,1,1,Good Standing
S0012697,2020FA,PBA,GR,9,F,1,1,Good Standing
S0016567,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001407,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009582,2020FA,PBA,GR,9,F,1,1,Good Standing
S0015825,2020FA,PBA,GR,3,P,1,1,Good Standing
S0010077,2020FA,PBA,GR,9,F,1,1,Good Standing
S0008908,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006470,2020FA,PBA,GR,9,F,1,1,Good Standing
S0016029,2020FA,PBA,GR,9,F,1,1,Good Standing
S0007081,2020FA,PBA,GR,3,P,1,1,Good Standing
S0012142,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0009146,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010589,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006416,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010304,2020FA,PBA,GR,3,P,1,1,Good Standing
S0011948,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001031,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010610,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001955,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000907,2020FA,PBA,GR,3,P,1,1,Good Standing
S0013570,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009174,2020FA,PBA,GR,9,F,1,1,Good Standing
S0014430,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0003413,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000199,2020FA,PBA,GR,3,P,1,1,Good Standing
S0005034,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000398,2020FA,PBA,GR,9,F,1,1,Good Standing
S0005873,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001039,2020FA,PBA,GR,9,F,1,1,Good Standing
S0011859,2020FA,PBA,GR,3,P,1,1,Academic Warning
S0013858,2020FA,PBA,GR,9,F,1,1,Good Standing
S0014630,2020FA,PBA,GR,9,F,1,1,Good Standing
S0014606,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009252,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006395,2020FA,PBA,GR,3,P,1,1,Good Standing
S0004406,2020FA,PBA,GR,9,F,1,1,Good Standing
S0017159,2020FA,PBA,GR,9,F,1,1,Good Standing
S0017329,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0004648,2020FA,PBA,GR,9,F,1,1,Good Standing
S0016815,2020FA,PBA,GR,3,P,1,1,Good Standing
S0009817,2020FA,PBA,GR,9,F,1,1,Good Standing
S0011989,2020FA,PBA,GR,9,F,1,1,Good Standing
S0016430,2020FA,PBA,GR,9,F,1,1,Good Standing
S0011807,2020FA,PBA,GR,9,F,1,1,Good Standing
S0005686,2020FA,PBA,GR,3,P,1,1,Good Standing
S0005022,2020FA,PBA,GR,9,F,1,1,Good Standing
S0002259,2020FA,PBA,GR,9,F,1,1,Good Standing
S0002206,2020FA,PBA,GR,9,F,1,1,Good Standing
S0015465,2020FA,PBA,GR,9,F,1,1,Good Standing
S0016480,2020FA,PBA,GR,3,P,1,1,Good Standing
S0016240,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006547,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001914,2020FA,PBA,GR,9,F,1,1,Good Standing
S0004799,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012480,2020FA,PBA,GR,3,P,1,1,Good Standing
S0003806,2020FA,PBA,GR,9,F,1,1,Good Standing
S0007973,2020FA,PBA,GR,9,F,1,1,Good Standing
S0015550,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012216,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010324,2020FA,PBA,GR,3,P,1,1,Good Standing
S0003242,2020FA,PBA,GR,9,F,1,1,Good Standing
S0014257,2020FA,PBA,GR,9,F,1,1,Good Standing
S0008152,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0013242,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012575,2020FA,PBA,GR,3,P,1,1,Good Standing
S0013990,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001509,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000100,2020FA,PBA,GR,9,F,1,1,Good Standing
S0005644,2020FA,PBA,GR,9,F,1,1,Good Standing
S0015709,2020FA,PBA,GR,3,P,1,1,Good Standing
S0002842,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010267,2020FA,PBA,GR,9,F,1,1,Good Standing
S0005871,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010364,2020FA,PBA,GR,9,F,1,1,Good Standing
S0011041,2020FA,PBA,GR,3,P,1,1,Good Standing
S0006487,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010313,2020FA,PBA,GR,9,F,1,1,Good Standing
S0016640,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012435,2020FA,PBA,GR,9,F,1,1,Good Standing
S0003043,2020FA,PBA,GR,3,P,1,1,Good Standing
S0011398,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0012441,2020FA,PBA,GR,9,F,1,1,Good Standing
S0005461,2020FA,PBA,GR,9,F,1,1,Good Standing
S0007446,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009834,2020FA,PBA,GR,3,P,1,1,Good Standing
S0016846,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000057,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009800,2020FA,PBA,GR,9,F,1,1,Good Standing
S0005190,2020FA,PBA,GR,9,F,1,1,Good Standing
S0002773,2020FA,PBA,GR,3,P,1,1,Good Standing
S0002470,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001461,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006576,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0012893,2020FA,PBA,GR,9,F,1,1,Good Standing
S0011328,2020FA,PBA,GR,3,P,1,1,Academic Warning
S0002344,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010330,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0005004,2020FA,PBA,GR,9,F,1,1,Good Standing
S0017264,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009762,2020FA,PBA,GR,3,P,1,1,Good Standing
S0005434,2020FA,PBA,GR,9,F,1,1,Good Standing
S0014637,2020FA,PBA,GR,9,F,1,1,Good Standing
S0005104,2020FA,PBA,GR,9,F,1,1,Good Standing
S0007923,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006155,2020FA,PBA,GR,3,P,1,1,Good Standing
S0010031,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009793,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012805,2020FA,PBA,GR,9,F,1,1,Academic Warning
S0008755,2020FA,PBA,GR,9,F,1,1,Good Standing
S0012107,2020FA,PBA,GR,3,P,1,1,Good Standing
S0014728,2020FA,PBA,GR,9,F,1,1,Good Standing
S0011573,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000953,2020FA,PBA,GR,9,F,1,1,Good Standing
S0015529,2020FA,PBA,GR,9,F,1,1,Good Standing
S0016094,2020FA,PBA,GR,3,P,1,1,Good Standing
S0009430,2020FA,PBA,GR,9,F,1,1,Good Standing
S0013281,2020FA,PBA,GR,9,F,1,1,Good Standing
S0002240,2020FA,PBA,GR,9,F,1,1,Good Standing
S0000629,2020FA,PBA,GR,9,F,1,1,Good Standing
S0001036,2020FA,PBA,GR,3,P,1,1,Good Standing
S0006053,2020FA,PBA,GR,9,F,1,1,Good Standing
S0015745,2020FA,PBA,GR,9,F,1,1,Good Standing
S0002592,2020FA,PBA,GR,9,F,1,1,Good Standing
S0003013,2020FA,PBA,GR,9,F,1,1,Good Standing
S0010606,2020FA,PBA,GR,3,P,1,1,Good Standing
S0006233,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006691,2020FA,PBA,GR,9,F,1,1,Good Standing
S0009476,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006850,2020FA,PBA,GR,9,F,1,1,Good Standing
S0006437,2020FA,PCS,GR,3,P,1,1,Good Standing
S0009284,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007850,2020FA,PCS,GR,9,F,1,1,Good Standing
S0011469,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008444,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006025,2020FA,PCS,GR,3,P,1,1,Good Standing
S0006035,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008234,2020FA,PCS,GR,9,F,1,1,Good Standing
S0005513,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002060,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015063,2020FA,PCS,GR,3,P,1,1,Good Standing
S0016847,2020FA,PCS,GR,9,F,1,1,Good Standing
S0017142,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001593,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010831,2020FA,PCS,GR,9,F,1,1,Good Standing
S0005406,2020FA,PCS,GR,3,P,1,1,Good Standing
S0001695,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002114,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008759,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016965,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001486,2020FA,PCS,GR,3,P,1,1,Good Standing
S0004822,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015641,2020FA,PCS,GR,9,F,1,1,Good Standing
S0011618,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012576,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0007205,2020FA,PCS,GR,3,P,1,1,Good Standing
S0012892,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001959,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000254,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015397,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004809,2020FA,PCS,GR,3,P,1,1,Good Standing
S0014347,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003219,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002570,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003401,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004122,2020FA,PCS,GR,3,P,1,1,Good Standing
S0016509,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012914,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003097,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0006129,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001837,2020FA,PCS,GR,3,P,1,1,Good Standing
S0004709,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009780,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010476,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001754,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001244,2020FA,PCS,GR,3,P,1,1,Good Standing
S0016788,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007428,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008132,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0011506,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001831,2020FA,PCS,GR,3,P,1,1,Good Standing
S0011881,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016672,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016550,2020FA,PCS,GR,9,F,1,1,Good Standing
S0013016,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001634,2020FA,PCS,GR,3,P,1,1,Good Standing
S0009653,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009756,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007667,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012865,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008067,2020FA,PCS,GR,3,P,1,1,Good Standing
S0000266,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008758,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015926,2020FA,PCS,GR,9,F,1,1,Good Standing
S0005818,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010510,2020FA,PCS,GR,3,P,1,1,Good Standing
S0007798,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006660,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010882,2020FA,PCS,GR,9,F,1,1,Good Standing
S0014368,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002088,2020FA,PCS,GR,3,P,1,1,Academic Warning
S0006323,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007749,2020FA,PCS,GR,9,F,1,1,Good Standing
S0017100,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007042,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006120,2020FA,PCS,GR,3,P,1,1,Good Standing
S0000013,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016436,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000736,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008986,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009813,2020FA,PCS,GR,3,P,1,1,Good Standing
S0011271,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008976,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012460,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006221,2020FA,PCS,GR,9,F,1,1,Good Standing
S0011032,2020FA,PCS,GR,3,P,1,1,Academic Warning
S0008118,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000218,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000642,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016245,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015647,2020FA,PCS,GR,3,P,1,1,Good Standing
S0015412,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004022,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0003730,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012996,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004644,2020FA,PCS,GR,3,P,1,1,Good Standing
S0009778,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000180,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012699,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003000,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015197,2020FA,PCS,GR,3,P,1,1,Good Standing
S0000719,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000279,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0007891,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001627,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002515,2020FA,PCS,GR,3,P,1,1,Good Standing
S0006471,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000627,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008929,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015923,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004086,2020FA,PCS,GR,3,P,1,1,Good Standing
S0010437,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003264,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003724,2020FA,PCS,GR,9,F,1,1,Good Standing
S0017112,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001182,2020FA,PCS,GR,3,P,1,1,Good Standing
S0009028,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0007662,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016753,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008632,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002534,2020FA,PCS,GR,3,P,1,1,Good Standing
S0015635,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001726,2020FA,PCS,GR,9,F,1,1,Good Standing
S0005846,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007195,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001316,2020FA,PCS,GR,3,P,1,1,Good Standing
S0002319,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009239,2020FA,PCS,GR,9,F,1,1,Good Standing
S0011300,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002628,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003330,2020FA,PCS,GR,3,P,1,1,Good Standing
S0001348,2020FA,PCS,GR,9,F,1,1,Good Standing
S0014604,2020FA,PCS,GR,9,F,1,1,Good Standing
S0005624,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006800,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016230,2020FA,PCS,GR,3,P,1,1,Good Standing
S0009064,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002449,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000587,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006832,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003669,2020FA,PCS,GR,3,P,1,1,Good Standing
S0013223,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002084,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010025,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008874,2020FA,PCS,GR,9,F,1,1,Good Standing
S0013098,2020FA,PCS,GR,3,P,1,1,Good Standing
S0000823,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006153,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009915,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002096,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001584,2020FA,PCS,GR,3,P,1,1,Good Standing
S0002433,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012743,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0013966,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009044,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007831,2020FA,PCS,GR,3,P,1,1,Good Standing
S0002759,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001457,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0010088,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0012589,2020FA,PCS,GR,9,F,1,1,Good Standing
S0005500,2020FA,PCS,GR,3,P,1,1,Good Standing
S0015214,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016545,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0012600,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010760,2020FA,PCS,GR,9,F,1,1,Good Standing
S0014365,2020FA,PCS,GR,3,P,1,1,Good Standing
S0001447,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001388,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010946,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007643,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001253,2020FA,PCS,GR,3,P,1,1,Good Standing
S0005469,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008701,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007072,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010221,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008472,2020FA,PCS,GR,3,P,1,1,Good Standing
S0011487,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002894,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009337,2020FA,PCS,GR,9,F,1,1,Good Standing
S0016502,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000407,2020FA,PCS,GR,3,P,1,1,Good Standing
S0017253,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009556,2020FA,PCS,GR,9,F,1,1,Good Standing
S0013773,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001404,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003416,2020FA,PCS,GR,3,P,1,1,Good Standing
S0003536,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003799,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004177,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0010230,2020FA,PCS,GR,9,F,1,1,Good Standing
S0013890,2020FA,PCS,GR,3,P,1,1,Good Standing
S0010905,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0000322,2020FA,PCS,GR,9,F,1,1,Good Standing
S0014131,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0016819,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007047,2020FA,PCS,GR,3,P,1,1,Good Standing
S0015646,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008392,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003237,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009366,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006494,2020FA,PCS,GR,3,P,1,1,Good Standing
S0003196,2020FA,PCS,GR,9,F,1,1,Good Standing
S0014736,2020FA,PCS,GR,9,F,1,1,Good Standing
S0013165,2020FA,PCS,GR,9,F,1,1,Good Standing
S0011494,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015950,2020FA,PCS,GR,3,P,1,1,Good Standing
S0003971,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007017,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012737,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009646,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012574,2020FA,PCS,GR,3,P,1,1,Good Standing
S0002484,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004440,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000086,2020FA,PCS,GR,9,F,1,1,Good Standing
S0003151,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001313,2020FA,PCS,GR,3,P,1,1,Good Standing
S0016631,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007337,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010425,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010726,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004876,2020FA,PCS,GR,3,P,1,1,Good Standing
S0013344,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007420,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001345,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006554,2020FA,PCS,GR,9,F,1,1,Good Standing
S0008408,2020FA,PCS,GR,3,P,1,1,Good Standing
S0016922,2020FA,PCS,GR,9,F,1,1,Good Standing
S0013210,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009711,2020FA,PCS,GR,9,F,1,1,Good Standing
S0009485,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000309,2020FA,PCS,GR,3,P,1,1,Good Standing
S0008036,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0015586,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000090,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001506,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0017291,2020FA,PCS,GR,3,P,1,1,Good Standing
S0007624,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012879,2020FA,PCS,GR,9,F,1,1,Good Standing
S0006942,2020FA,PCS,GR,9,F,1,1,Good Standing
S0007783,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010268,2020FA,PCS,GR,3,P,1,1,Good Standing
S0007899,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015477,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000230,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010383,2020FA,PCS,GR,9,F,1,1,Good Standing
S0000390,2020FA,PCS,GR,3,P,1,1,Good Standing
S0007806,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015671,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004704,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004614,2020FA,PCS,GR,9,F,1,1,Good Standing
S0014942,2020FA,PCS,GR,3,P,1,1,Good Standing
S0012511,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012573,2020FA,PCS,GR,9,F,1,1,Good Standing
S0013885,2020FA,PCS,GR,9,F,1,1,Good Standing
S0012034,2020FA,PCS,GR,9,F,1,1,Good Standing
S0013097,2020FA,PCS,GR,3,P,1,1,Good Standing
S0006875,2020FA,PCS,GR,9,F,1,1,Good Standing
S0001001,2020FA,PCS,GR,9,F,1,1,Good Standing
S0010543,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0015754,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015023,2020FA,PCS,GR,3,P,1,1,Good Standing
S0011327,2020FA,PCS,GR,9,F,1,1,Good Standing
S0002669,2020FA,PCS,GR,9,F,1,1,Good Standing
S0015619,2020FA,PCS,GR,9,F,1,1,Academic Warning
S0016860,2020FA,PCS,GR,9,F,1,1,Good Standing
S0004390,2020FA,PCS,GR,3,P,1,1,Good Standing
S0004180,2020FA,PCS,GR,9,F,1,1,Good Standing
