section_id,term_id,program_id,course_code,modality,section_capacity,instructor_type
PCS-2025FA-08,2025FA,PCS,CS-508,In person,35,Adjunct
PCS-2025FA-09,2025FA,PCS,CS-509,Online,35,Full-time
PCS-2025FA-10,2025FA,PCS,CS-510,In person,35,Full-time
PCS-2025FA-11,2025FA,PCS,CS-511,In person,35,Full-time
PCS-2025FA-12,2025FA,PCS,CS-512,Online,35,Adjunct
PCS-2025FA-13,2025FA,PCS,CS-513,In person,35,Full-time
PCS-2025FA-14,2025FA,PCS,CS-514,In person,35,Full-time
PCS-2025FA-15,2025FA,PCS,CS-515,Online,35,Full-time
PCS-2025FA-16,2025FA,PCS,CS-516,In person,35,Adjunct
PCS-2025FA-17,2025FA,PCS,CS-517,In person,35,Full-time
PCS-2025FA-18,2025FA,PCS,CS-518,Online,35,Full-time
PCS-2025FA-19,2025FA,PCS,CS-519,In person,35,Full-time
PCS-2025FA-20,2025FA,PCS,CS-520,In person,35,Adjunct
PCS-2025FA-21,2025FA,PCS,CS-521,Online,35,Full-time
PCS-2025FA-22,2025FA,PCS,CS-522,In person,35,Full-time
PCS-2025FA-23,2025FA,PCS,CS-523,In person,35,Full-time
PCS-2025FA-24,2025FA,PCS,CS-524,Online,35,Adjunct
PCS-2025FA-25,2025FA,PCS,CS-525,In person,35,Full-time
PCS-2025FA-26,2025FA,PCS,CS-526,In person,35,Full-time
PCS-2025FA-27,2025FA,PCS,CS-527,Online,35,Full-time
PCS-2025FA-28,2025FA,PCS,CS-528,In person,35,Adjunct
PCS-2025FA-29,2025FA,PCS,CS-529,In person,35,Full-time
PCS-2025FA-30,2025FA,PCS,CS-530,Online,35,Full-time
PCS-2025FA-31,2025FA,PCS,CS-531,In person,35,Full-time
PCS-2025FA-32,2025FA,PCS,CS-532,In person,35,Adjunct
PCS-2025FA-33,2025FA,PCS,CS-533,Online,35,Full-time
PCS-2025FA-34,2025FA,PCS,CS-534,In person,35,Full-time
PCS-2025FA-35,2025FA,PCS,CS-535,In person,35,Full-time
PCS-2025FA-36,2025FA,PCS,CS-536,Online,35,Adjunct
PCS-2025FA-37,2025FA,PCS,CS-537,In person,35,Full-time
PCS-2025FA-38,2025FA,PCS,CS-538,In person,35,Full-time
PCS-2025FA-39,2025FA,PCS,CS-539,Online,35,Full-time
PCS-2025FA-40,2025FA,PCS,CS-540,In person,35,Adjunct
PCS-2025FA-41,2025FA,PCS,CS-541,In person,35,Full-time
PCS-2025FA-42,2025FA,PCS,CS-542,Online,35,Full-time
PCS-2025FA-43,2025FA,PCS,CS-543,In person,35,Full-time
PCS-2025FA-44,2025FA,PCS,CS-544,In person,35,Adjunct
PCS-2025FA-45,2025FA,PCS,CS-545,Online,35,Full-time
PCS-2025FA-46,2025FA,PCS,CS-546,In person,35,Full-time
PCS-2025FA-47,2025FA,PCS,CS-547,In person,35,Full-time
PCS-2025FA-48,2025FA,PCS,CS-548,Online,35,Adjunct
PCS-2025FA-49,2025FA,PCS,CS-549,In person,35,Full-time
PCS-2025FA-50,2025FA,PCS,CS-550,In person,35,Full-time
PCS-2025FA-51,2025FA,PCS,CS-551,Online,35,Full-time
PCS-2025FA-52,2025FA,PCS,CS-552,In person,35,Adjunct
PCS-2025FA-53,2025FA,PCS,CS-553,In person,35,Full-time
PCS-2025FA-54,2025FA,PCS,CS-554,Online,35,Full-time
PCS-2025FA-55,2025FA,PCS,CS-555,In person,35,Full-time
PCS-2025FA-56,2025FA,PCS,CS-556,In person,35,Adjunct
PCS-2025FA-57,2025FA,PCS,CS-557,Online,35,Full-time
PCS-2025FA-58,2025FA,PCS,CS-558,In person,35,Full-time
PCS-2025FA-59,2025FA,PCS,CS-559,In person,35,Full-time
PCS-2025FA-60,2025FA,PCS,CS-560,Online,35,Adjunct
PCS-2025FA-61,2025FA,PCS,CS-561,In person,35,Full-time
PCS-2025FA-62,2025FA,PCS,CS-562,In person,35,Full-time
PCS-2025FA-63,2025FA,PCS,CS-563,Online,35,Full-time
PCS-2025FA-64,2025FA,PCS,CS-564,In person,35,Adjunct
PCS-2025FA-65,2025FA,PCS,CS-565,In person,35,Full-time
PCS-2025FA-66,2025FA,PCS,CS-566,Online,35,Full-time
PCS-2025FA-67,2025FA,PCS,CS-567,In person,35,Full-time
PCS-2025FA-68,2025FA,PCS,CS-568,In person,35,Adjunct
PCS-2025FA-69,2025FA,PCS,CS-569,Online,35,Full-time
PCS-2025FA-70,2025FA,PCS,CS-570,In person,35,Full-time
PCS-2025FA-71,2025FA,PCS,CS-571,In person,35,Full-time
PCS-2025FA-72,2025FA,PCS,CS-572,Online,35,Adjunct
PNUR-2025FA-01,2025FA,PNUR,NUR-501,In person,30,Full-time
PNUR-2025FA-02,2025FA,PNUR,NUR-502,In person,30,Full-time
PNUR-2025FA-03,2025FA,PNUR,NUR-503,Online,30,Full-time
PNUR-2025FA-04,2025FA,PNUR,NUR-504,In person,30,Adjunct
PNUR-2025FA-05,2025FA,PNUR,NUR-505,In person,30,Full-time
PNUR-2025FA-06,2025FA,PNUR,NUR-506,Online,30,Full-time
PNUR-2025FA-07,2025FA,PNUR,NUR-507,In person,30,Full-time
PNUR-2025FA-08,2025FA,PNUR,NUR-508,In person,30,Adjunct
PNUR-2025FA-09,2025FA,PNUR,NUR-509,Online,30,Full-time
PNUR-2025FA-10,2025FA,PNUR,NUR-510,In person,30,Full-time
PNUR-2025FA-11,2025FA,PNUR,NUR-511,In person,30,Full-time
PNUR-2025FA-12,2025FA,PNUR,NUR-512,Online,30,Adjunct
PNUR-2025FA-13,2025FA,PNUR,NUR-513,In person,30,Full-time
PNUR-2025FA-14,2025FA,PNUR,NUR-514,In person,30,Full-time
PNUR-2025FA-15,2025FA,PNUR,NUR-515,Online,30,Full-time
PNUR-2025FA-16,2025FA,PNUR,NUR-516,In person,30,Adjunct
PNUR-2025FA-17,2025FA,PNUR,NUR-517,In person,30,Full-time
PNUR-2025FA-18,2025FA,PNUR,NUR-518,Online,30,Full-time
PNUR-2025FA-19,2025FA,PNUR,NUR-519,In person,30,Full-time
PNUR-2025FA-20,2025FA,PNUR,NUR-520,In person,30,Adjunct
PNUR-2025FA-21,2025FA,PNUR,NUR-521,Online,30,Full-time
PNUR-2025FA-22,2025FA,PNUR,NUR-522,In person,30,Full-time
PNUR-2025FA-23,2025FA,PNUR,NUR-523,In person,30,Full-time
PNUR-2025FA-24,2025FA,PNUR,NUR-524,Online,30,Adjunct
PNUR-2025FA-25,2025FA,PNUR,NUR-525,In person,30,Full-time
PNUR-2025FA-26,2025FA,PNUR,NUR-526,In person,30,Full-time
PNUR-2025FA-27,2025FA,PNUR,NUR-527,Online,30,Full-time
PNUR-2025FA-28,2025FA,PNUR,NUR-528,In person,30,Adjunct
PNUR-2025FA-29,2025FA,PNUR,NUR-529,In person,30,Full-time
PNUR-2025FA-30,2025FA,PNUR,NUR-530,Online,30,Full-time
PNUR-2025FA-31,2025FA,PNUR,NUR-531,In person,30,Full-time
PNUR-2025FA-32,2025FA,PNUR,NUR-532,In person,30,Adjunct
PNUR-2025FA-33,2025FA,PNUR,NUR-533,Online,30,Full-time
PNUR-2025FA-34,2025FA,PNUR,NUR-534,In person,30,Full-time
PNUR-2025FA-35,2025FA,PNUR,NUR-535,In person,30,Full-time
PNUR-2025FA-36,2025FA,PNUR,NUR-536,Online,30,Adjunct
PNUR-2025FA-37,2025FA,PNUR,NUR-537,In person,30,Full-time
PNUR-2025FA-38,2025FA,PNUR,NUR-538,In person,30,Full-time
PNUR-2025FA-39,2025FA,PNUR,NUR-539,Online,30,Full-time
PNUR-2025FA-40,2025FA,PNUR,NUR-540,In person,30,Adjunct
PNUR-2025FA-41,2025FA,PNUR,NUR-541,In person,30,Full-time
PNUR-2025FA-42,2025FA,PNUR,NUR-542,Online,30,Full-time
PNUR-2025FA-43,2025FA,PNUR,NUR-543,In person,30,Full-time
PNUR-2025FA-44,2025FA,PNUR,NUR-544,In person,30,Adjunct
PNUR-2025FA-45,2025FA,PNUR,NUR-545,Online,30,Full-time
PNUR-2025FA-46,2025FA,PNUR,NUR-546,In person,30,Full-time
PNUR-2025FA-47,2025FA,PNUR,NUR-547,In person,30,Full-time
PNUR-2025FA-48,2025FA,PNUR,NUR-548,Online,30,Adjunct
PNUR-2025FA-49,2025FA,PNUR,NUR-549,In person,30,Full-time
PNUR-2025FA-50,2025FA,PNUR,NUR-550,In person,30,Full-time
PNUR-2025FA-51,2025FA,PNUR,NUR-551,Online,30,Full-time
PNUR-2025FA-52,2025FA,PNUR,NUR-552,In person,30,Adjunct
PNUR-2025FA-53,2025FA,PNUR,NUR-553,In person,30,Full-time
PNUR-2025FA-54,2025FA,PNUR,NUR-554,Online,30,Full-time
PNUR-2025FA-55,2025FA,PNUR,NUR-555,In person,30,Full-time
PNUR-2025FA-56,2025FA,PNUR,NUR-556,In person,30,Adjunct
PNUR-2025FA-57,2025FA,PNUR,NUR-557,Online,30,Full-time
PNUR-2025FA-58,2025FA,PNUR,NUR-558,In person,30,Full-time
PNUR-2025FA-59,2025FA,PNUR,NUR-559,In person,30,Full-time
PNUR-2025FA-60,2025FA,PNUR,NUR-560,Online,30,Adjunct
PNUR-2025FA-61,2025FA,PNUR,NUR-561,In person,30,Full-time
PNUR-2025FA-62,2025FA,PNUR,NUR-562,In person,30,Full-time
PNUR-2025FA-63,2025FA,PNUR,NUR-563,Online,30,Full-time
PNUR-2025FA-64,2025FA,PNUR,NUR-564,In person,30,Adjunct
PPA-2025FA-01,2025FA,PPA,PA-501,In person,30,Full-time
PPA-2025FA-02,2025FA,PPA,PA-502,In person,30,Full-time
PPA-2025FA-03,2025FA,PPA,PA-503,Online,30,Full-time
PPA-2025FA-04,2025FA,PPA,PA-504,In person,30,Adjunct
PPA-2025FA-05,2025FA,PPA,PA-505,In person,30,Full-time
PPA-2025FA-06,2025FA,PPA,PA-506,Online,30,Full-time
PPA-2025FA-07,2025FA,PPA,PA-507,In person,30,Full-time
PPA-2025FA-08,2025FA,PPA,PA-508,In person,30,Adjunct
PPA-2025FA-09,2025FA,PPA,PA-509,Online,30,Full-time
PPA-2025FA-10,2025FA,PPA,PA-510,In person,30,Full-time
PPA-2025FA-11,2025FA,PPA,PA-511,In person,30,Full-time
PPA-2025FA-12,2025FA,PPA,PA-512,Online,30,Adjunct
PPA-2025FA-13,2025FA,PPA,PA-513,In person,30,Full-time
PPA-2025FA-14,2025FA,PPA,PA-514,In person,30,Full-time
PPA-2025FA-15,2025FA,PPA,PA-515,Online,30,Full-time
PPA-2025FA-16,2025FA,PPA,PA-516,In person,30,Adjunct
PPA-2025FA-17,2025FA,PPA,PA-517,In person,30,Full-time
PPA-2025FA-18,2025FA,PPA,PA-518,Online,30,Full-time
PPA-2025FA-19,2025FA,PPA,PA-519,In person,30,Full-time
PPA-2025FA-20,2025FA,PPA,PA-520,In person,30,Adjunct
PPA-2025FA-21,2025FA,PPA,PA-521,Online,30,Full-time
PPA-2025FA-22,2025FA,PPA,PA-522,In person,30,Full-time
PPA-2025FA-23,2025FA,PPA,PA-523,In person,30,Full-time
PPA-2025FA-24,2025FA,PPA,PA-524,Online,30,Adjunct
PPA-2025FA-25,2025FA,PPA,PA-525,In person,30,Full-time
PPA-2025FA-26,2025FA,PPA,PA-526,In person,30,Full-time
PPA-2025FA-27,2025FA,PPA,PA-527,Online,30,Full-time
PPA-2025FA-28,2025FA,PPA,PA-528,In person,30,Adjunct
PPA-2025FA-29,2025FA,PPA,PA-529,In person,30,Full-time
PPA-2025FA-30,2025FA,PPA,PA-530,Online,30,Full-time
PPA-2025FA-31,2025FA,PPA,PA-531,In person,30,Full-time
PPA-2025FA-32,2025FA,PPA,PA-532,In person,30,Adjunct
PPA-2025FA-33,2025FA,PPA,PA-533,Online,30,Full-time
PPA-2025FA-34,2025FA,PPA,PA-534,In person,30,Full-time
PPA-2025FA-35,2025FA,PPA,PA-535,In person,30,Full-time
PPA-2025FA-36,2025FA,PPA,PA-536,Online,30,Adjunct
PPA-2025FA-37,2025FA,PPA,PA-537,In person,30,Full-time
PPA-2025FA-38,2025FA,PPA,PA-538,In person,30,Full-time
PPA-2025FA-39,2025FA,PPA,PA-539,Online,30,Full-time
PPA-2025FA-40,2025FA,PPA,PA-540,In person,30,Adjunct
PPA-2025FA-41,2025FA,PPA,PA-541,In person,30,Full-time
PPA-2025FA-42,2025FA,PPA,PA-542,Online,30,Full-time
PPA-2025FA-43,2025FA,PPA,PA-543,In person,30,Full-time
PPA-2025FA-44,2025FA,PPA,PA-544,In person,30,Adjunct
PPA-2025FA-45,2025FA,PPA,PA-545,Online,30,Full-time
PPA-2025FA-46,2025FA,PPA,PA-546,In person,30,Full-time
PPA-2025FA-47,2025FA,PPA,PA-547,In person,30,Full-time
PPA-2025FA-48,2025FA,PPA,PA-548,Online,30,Adjunct
PPA-2025FA-49,2025FA,PPA,PA-549,In person,30,Full-time
PPA-2025FA-50,2025FA,PPA,PA-550,In person,30,Full-time
PPA-2025FA-51,2025FA,PPA,PA-551,Online,30,Full-time
PPA-2025FA-52,2025FA,PPA,PA-552,In person,30,Adjunct
PPA-2025FA-53,2025FA,PPA,PA-553,In person,30,Full-time
PPA-2025FA-54,2025FA,PPA,PA-554,Online,30,Full-time
PPA-2025FA-55,2025FA,PPA,PA-555,In person,30,Full-time
PPA-2025FA-56,2025FA,PPA,PA-556,In person,30,Adjunct
