student_id,birth_year,gender,race_ethnicity,residency,first_generation,pell_eligible,entry_term_id,entry_type,degree_seeking,ftft_cohort_term_id,primary_program_id
S0000160,2006,Woman,Black or African American,International,0,0,2020FA,First-time,1,2020FA,PBUS
S0000161,1995,Woman,Nonresident,Out-of-state,0,1,2020FA,First-time,1,2020FA,PENG
S0000162,2005,Man,Asian,Out-of-state,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000163,1993,Unknown,White,In-state,1,0,2020FA,First-time,1,2020FA,PMATH
S0000164,1984,Man,Asian,International,0,0,2020FA,First-time,1,2020FA,PPSY
S0000165,1981,Woman,Asian,International,1,0,2020FA,First-time,1,2020FA,PEDU
S0000166,2004,Unknown,White,International,0,1,2020FA,First-time,1,2020FA,PEDU
S0000167,1993,Woman,American Indian or Alaska Native,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBIO
S0000168,2004,Man,Hispanic or Latino,In-state,1,0,2020FA,First-time,1,2020FA,PEDU
S0000169,1990,Man,Nonresident,Out-of-state,0,1,2020FA,First-time,1,2020FA,PEDU
S0000170,1985,Woman,Native Hawaiian or Other Pacific Islander,In-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000171,1987,Man,White,International,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000172,1989,Unknown,White,In-state,1,1,2020FA,First-time,1,2020FA,PBUS
S0000173,1997,Nonbinary,Asian,In-state,1,1,2020FA,First-time,1,2020FA,PCRJ
S0000174,1991,Unknown,Two or more races,In-state,1,0,2020FA,First-time,1,2020FA,PMATH
S0000175,1989,Nonbinary,White,International,1,0,2020FA,First-time,1,2020FA,PPSY
S0000176,1998,Woman,White,In-state,0,1,2020FA,First-time,1,2020FA,PGEN
S0000177,1981,Woman,Nonresident,International,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000178,1999,Man,White,In-state,1,0,2020FA,First-time,1,2020FA,PPSY
S0000179,1993,Nonbinary,Black or African American,In-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000180,2002,Unknown,American Indian or Alaska Native,In-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000181,1993,Woman,Nonresident,In-state,0,1,2020FA,First-time,1,2020FA,PMATH
S0000182,1984,Nonbinary,Nonresident,Out-of-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000183,2002,Unknown,Nonresident,In-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000184,1992,Man,American Indian or Alaska Native,International,0,0,2020FA,First-time,1,2020FA,PPSY
S0000185,2005,Woman,Asian,In-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000186,2002,Unknown,Two or more races,International,0,0,2020FA,First-time,1,2020FA,PGEN
S0000187,1999,Man,Two or more races,Out-of-state,0,1,2020FA,First-time,1,2020FA,PPSY
S0000188,1987,Unknown,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PEDU
S0000189,1997,Man,Hispanic or Latino,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBIO
S0000190,1986,Man,Nonresident,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000191,1979,Unknown,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PEDU
S0000192,1997,Unknown,Two or more races,In-state,1,0,2020FA,First-time,1,2020FA,PENG
S0000193,1990,Unknown,Hispanic or Latino,Out-of-state,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000194,1984,Woman,Asian,In-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000195,2002,Nonbinary,Asian,In-state,0,1,2020FA,First-time,1,2020FA,PGEN
S0000196,2002,Woman,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000197,1984,Nonbinary,Two or more races,Out-of-state,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000198,2006,Unknown,Black or African American,Out-of-state,1,1,2020FA,First-time,1,2020FA,PBUS
S0000199,1994,Woman,Black or African American,International,1,0,2020FA,First-time,1,2020FA,PGEN
S0000200,2002,Woman,Nonresident,Out-of-state,0,1,2020FA,First-time,1,2020FA,PGEN
S0000201,1988,Woman,Black or African American,International,0,1,2020FA,First-time,1,2020FA,PGEN
S0000202,2001,Woman,Two or more races,International,0,0,2020FA,First-time,1,2020FA,PPSY
S0000203,2004,Woman,Hispanic or Latino,In-state,1,0,2020FA,First-time,1,2020FA,PGEN
S0000204,1996,Unknown,Two or more races,In-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000205,1994,Unknown,Hispanic or Latino,International,0,0,2020FA,First-time,1,2020FA,PENG
S0000206,2001,Woman,American Indian or Alaska Native,In-state,1,0,2020FA,First-time,1,2020FA,PPSY
S0000207,1979,Nonbinary,Nonresident,Out-of-state,1,0,2020FA,First-time,1,2020FA,PPSY
S0000208,2004,Unknown,Native Hawaiian or Other Pacific Islander,In-state,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000209,2001,Woman,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000210,2002,Nonbinary,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PGEN
S0000211,1987,Nonbinary,Native Hawaiian or Other Pacific Islander,In-state,1,0,2020FA,First-time,1,2020FA,PBUS
S0000212,1984,Nonbinary,White,Out-of-state,1,0,2020FA,First-time,1,2020FA,PEDU
S0000213,1989,Man,Black or African American,International,0,0,2020FA,First-time,1,2020FA,PMATH
S0000214,1996,Unknown,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PMATH
S0000215,1992,Woman,Native Hawaiian or Other Pacific Islander,In-state,1,0,2020FA,First-time,1,2020FA,PPSY
S0000216,2006,Unknown,Native Hawaiian or Other Pacific Islander,Out-of-state,1,1,2020FA,First-time,1,2020FA,PPSY
S0000217,1978,Nonbinary,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000218,1999,Woman,Two or more races,Out-of-state,0,1,2020FA,First-time,1,2020FA,PGEN
S0000219,1996,Nonbinary,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PBIO
S0000220,1989,Woman,Nonresident,Out-of-state,1,1,2020FA,First-time,1,2020FA,PPSY
S0000221,1995,Man,Black or African American,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000222,1993,Unknown,Nonresident,International,0,1,2020FA,First-time,1,2020FA,PBUS
S0000223,1981,Nonbinary,White,International,1,0,2020FA,First-time,1,2020FA,PENG
S0000224,1991,Woman,Nonresident,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000225,1993,Man,White,In-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000226,1984,Unknown,Nonresident,In-state,1,0,2020FA,First-time,1,2020FA,PMATH
S0000227,1998,Unknown,Nonresident,In-state,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000228,1980,Unknown,White,International,0,0,2020FA,First-time,1,2020FA,PCRJ
S0000229,1988,Man,Two or more races,In-state,1,1,2020FA,First-time,1,2020FA,PMATH
S0000230,2001,Nonbinary,Black or African American,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBIO
S0000231,1990,Woman,Nonresident,In-state,1,0,2020FA,First-time,1,2020FA,PPSY
S0000232,2005,Man,Hispanic or Latino,Out-of-state,0,1,2020FA,First-time,1,2020FA,PENG
S0000233,1982,Man,Black or African American,In-state,0,1,2020FA,First-time,1,2020FA,PBUS
S0000234,1983,Unknown,White,In-state,1,0,2020FA,First-time,1,2020FA,PPSY
S0000235,1996,Nonbinary,Black or African American,International,0,0,2020FA,First-time,1,2020FA,PBIO
S0000236,1995,Man,White,International,1,0,2020FA,First-time,1,2020FA,PBUS
S0000237,1981,Woman,White,In-state,1,0,2020FA,First-time,1,2020FA,PPSY
S0000238,1978,Unknown,Nonresident,International,1,0,2020FA,First-time,1,2020FA,PCRJ
S0000239,1980,Woman,American Indian or Alaska Native,Out-of-state,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000240,1988,Nonbinary,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PEDU
S0000241,2003,Unknown,Native Hawaiian or Other Pacific Islander,Out-of-state,0,1,2020FA,First-time,1,2020FA,PGEN
S0000242,2002,Woman,Native Hawaiian or Other Pacific Islander,International,1,0,2020FA,First-time,1,2020FA,PBIO
S0000243,2001,Man,Two or more races,International,1,0,2020FA,First-time,1,2020FA,PMATH
S0000244,1990,Woman,Nonresident,International,0,0,2020FA,First-time,1,2020FA,PENG
S0000245,1991,Unknown,Hispanic or Latino,International,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000246,2006,Unknown,American Indian or Alaska Native,International,0,0,2020FA,First-time,1,2020FA,PPSY
S0000247,1981,Nonbinary,Nonresident,International,0,0,2020FA,First-time,1,2020FA,PEDU
S0000248,2001,Woman,Hispanic or Latino,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000249,1979,Unknown,Nonresident,International,1,0,2020FA,First-time,1,2020FA,PEDU
S0000250,1996,Nonbinary,American Indian or Alaska Native,In-state,0,1,2020FA,First-time,1,2020FA,PEDU
S0000251,2000,Woman,Asian,International,0,1,2020FA,First-time,1,2020FA,PBUS
S0000252,1987,Man,Nonresident,Out-of-state,0,0,2020FA,First-time,1,2020FA,PPSY
S0000253,1987,Woman,Two or more races,In-state,0,0,2020FA,First-time,1,2020FA,PEDU
S0000254,2001,Woman,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PGEN
S0000255,1999,Unknown,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PBUS
S0000256,1996,Woman,American Indian or Alaska Native,Out-of-state,1,0,2020FA,First-time,1,2020FA,PBUS
S0000257,1983,Woman,American Indian or Alaska Native,In-state,0,1,2020FA,First-time,1,2020FA,PCRJ
S0000258,1986,Woman,Hispanic or Latino,International,1,0,2020FA,First-time,1,2020FA,PBUS
S0000259,1989,Man,American Indian or Alaska Native,Out-of-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000260,1986,Man,Native Hawaiian or Other Pacific Islander,International,0,0,2020FA,First-time,1,2020FA,PMATH
S0000261,2004,Woman,Two or more races,In-state,0,1,2020FA,First-time,1,2020FA,PBIO
S0000262,1999,Woman,Native Hawaiian or Other Pacific Islander,International,1,0,2020FA,First-time,1,2020FA,PEDU
S0000263,1990,Nonbinary,White,International,0,1,2020FA,First-time,1,2020FA,PMATH
S0000264,1993,Nonbinary,Nonresident,Out-of-state,1,0,2020FA,First-time,1,2020FA,PMATH
S0000265,1979,Unknown,White,International,0,0,2020FA,First-time,1,2020FA,PBIO
S0000266,1997,Woman,Two or more races,International,0,0,2020FA,First-time,1,2020FA,PBIO
S0000267,2000,Woman,Black or African American,In-state,0,0,2020FA,First-time,1,2020FA,PENG
S0000268,1995,Woman,White,Out-of-state,0,1,2020FA,First-time,1,2020FA,PBIO
S0000269,1995,Woman,Nonresident,Out-of-state,0,0,2020FA,First-time,1,2020FA,PEDU
S0000270,1989,Nonbinary,Black or African American,Out-of-state,0,0,2020FA,First-time,1,2020FA,PEDU
S0000271,2003,Nonbinary,Asian,In-state,0,1,2020FA,First-time,1,2020FA,PBUS
S0000272,1988,Woman,White,International,0,1,2020FA,First-time,1,2020FA,PBIO
S0000273,1998,Unknown,Asian,International,0,1,2020FA,First-time,1,2020FA,PMATH
