issue_id,severity,title,rule_id,affected_records,owner,source_system,status,opened_at,resolved_at
DQ-R002,Medium,Resolved synthetic exception 2,RESOLVED_RULE_02,27,Financial Aid,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-12 12:00
DQ-R003,Medium,Resolved synthetic exception 3,RESOLVED_RULE_03,40,Admissions,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-12 12:00
DQ-R004,High,Resolved synthetic exception 4,RESOLVED_RULE_04,2,Registrar,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-12 12:00
DQ-R005,Medium,Resolved synthetic exception 5,RESOLVED_RULE_05,15,Registrar,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-12 12:00
DQ-R006,Medium,Resolved synthetic exception 6,RESOLVED_RULE_06,28,Academic Affairs,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-19 12:00
DQ-R007,Medium,Resolved synthetic exception 7,RESOLVED_RULE_07,41,Academic Affairs,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-19 12:00
DQ-R008,High,Resolved synthetic exception 8,RESOLVED_RULE_08,3,Registrar,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-19 12:00
DQ-R009,Medium,Resolved synthetic exception 9,RESOLVED_RULE_09,16,Financial Aid,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-19 12:00
DQ-R010,Medium,Resolved synthetic exception 10,RESOLVED_RULE_10,29,Academic Affairs,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-26 12:00
DQ-R011,Medium,Resolved synthetic exception 11,RESOLVED_RULE_11,42,Financial Aid,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-26 12:00
DQ-R012,High,Resolved synthetic exception 12,RESOLVED_RULE_12,4,Registrar,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-26 12:00
DQ-R013,Medium,Resolved synthetic exception 13,RESOLVED_RULE_13,17,Academic Affairs,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-26 12:00
DQ-R014,Medium,Resolved synthetic exception 14,RESOLVED_RULE_14,30,Financial Aid,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-09-26 12:00
DQ-R015,Medium,Resolved synthetic exception 15,RESOLVED_RULE_15,43,Admissions,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-03 12:00
DQ-R016,High,Resolved synthetic exception 16,RESOLVED_RULE_16,5,Financial Aid,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-03 12:00
DQ-R017,Medium,Resolved synthetic exception 17,RESOLVED_RULE_17,18,Admissions,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-03 12:00
DQ-R018,Medium,Resolved synthetic exception 18,RESOLVED_RULE_18,31,Registrar,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
DQ-R019,Medium,Resolved synthetic exception 19,RESOLVED_RULE_19,44,Academic Affairs,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
DQ-R020,High,Resolved synthetic exception 20,RESOLVED_RULE_20,6,Academic Affairs,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
DQ-R021,Medium,Resolved synthetic exception 21,RESOLVED_RULE_21,19,Admissions,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
DQ-R022,Medium,Resolved synthetic exception 22,RESOLVED_RULE_22,32,Academic Affairs,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
DQ-R023,Medium,Resolved synthetic exception 23,RESOLVED_RULE_23,45,Admissions,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
DQ-R024,High,Resolved synthetic exception 24,RESOLVED_RULE_24,7,Admissions,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
DQ-R025,Medium,Resolved synthetic exception 25,RESOLVED_RULE_25,20,Admissions,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
DQ-R026,Medium,Resolved synthetic exception 26,RESOLVED_RULE_26,33,Admissions,Enterprise data warehouse,Resolved,2025-09-01 08:00,2025-10-10 12:00
