aid_record_id,student_id,term_id,aid_year,pell_eligible,pell_recipient,pell_amount,federal_loan_recipient,federal_loan_amount
AID2025-000102,S0023310,2025FA,2025-26,0,0,0,0,0
AID2025-000103,S0024436,2025FA,2025-26,0,0,0,1,5500
AID2025-000104,S0010059,2025FA,2025-26,1,1,7395,0,0
AID2025-000105,S0004480,2025FA,2025-26,0,0,0,0,0
AID2025-000106,S0030507,2025FA,2025-26,0,0,0,1,5500
AID2025-000107,S0017624,2025FA,2025-26,0,0,0,0,0
AID2025-000108,S0032700,2025FA,2025-26,0,0,0,0,0
AID2025-000109,S0005139,2025FA,2025-26,0,0,0,1,5500
AID2025-000110,S0018871,2025FA,2025-26,0,0,0,0,0
AID2025-000111,S0022652,2025FA,2025-26,0,0,0,0,0
AID2025-000112,S0018687,2025FA,2025-26,0,0,0,1,5500
AID2025-000113,S0035102,2025FA,2025-26,1,0,0,0,0
AID2025-000114,S0035899,2025FA,2025-26,0,0,0,0,0
AID2025-000115,S0032630,2025FA,2025-26,1,1,7395,1,5500
AID2025-000116,S0038045,2025FA,2025-26,1,1,7395,0,0
AID2025-000117,S0035561,2025FA,2025-26,0,0,0,0,0
AID2025-000118,S0000667,2025FA,2025-26,0,0,0,1,5500
AID2025-000119,S0027658,2025FA,2025-26,1,1,7395,0,0
AID2025-000120,S0040043,2025FA,2025-26,0,0,0,0,0
AID2025-000121,S0034228,2025FA,2025-26,1,1,7395,1,5500
AID2025-000122,S0026345,2025FA,2025-26,1,1,7395,0,0
AID2025-000123,S0022312,2025FA,2025-26,0,0,0,0,0
AID2025-000124,S0033594,2025FA,2025-26,1,1,7395,1,5500
AID2025-000125,S0032862,2025FA,2025-26,0,0,0,0,0
AID2025-000126,S0038065,2025FA,2025-26,0,0,0,0,0
AID2025-000127,S0031418,2025FA,2025-26,1,0,0,1,5500
AID2025-000128,S0001651,2025FA,2025-26,0,0,0,0,0
AID2025-000129,S0018623,2025FA,2025-26,0,0,0,0,0
AID2025-000130,S0024429,2025FA,2025-26,0,0,0,1,5500
AID2025-000131,S0037170,2025FA,2025-26,0,0,0,0,0
AID2025-000132,S0030441,2025FA,2025-26,0,0,0,0,0
AID2025-000133,S0037067,2025FA,2025-26,1,1,7395,1,5500
AID2025-000134,S0037475,2025FA,2025-26,0,0,0,0,0
AID2025-000135,S0003295,2025FA,2025-26,0,0,0,0,0
AID2025-000136,S0008282,2025FA,2025-26,0,0,0,1,5500
AID2025-000137,S0033884,2025FA,2025-26,0,0,0,0,0
AID2025-000138,S0018662,2025FA,2025-26,0,0,0,0,0
AID2025-000139,S0015709,2025FA,2025-26,1,1,7395,1,5500
AID2025-000140,S0029148,2025FA,2025-26,1,1,7395,0,0
AID2025-000141,S0026631,2025FA,2025-26,1,0,0,0,0
AID2025-000142,S0027892,2025FA,2025-26,0,0,0,1,5500
AID2025-000143,S0033770,2025FA,2025-26,0,0,0,0,0
AID2025-000144,S0026044,2025FA,2025-26,0,0,0,0,0
AID2025-000145,S0037889,2025FA,2025-26,1,1,7395,1,5500
AID2025-000146,S0027485,2025FA,2025-26,0,0,0,0,0
AID2025-000147,S0019665,2025FA,2025-26,0,0,0,0,0
AID2025-000148,S0024331,2025FA,2025-26,1,0,0,1,5500
AID2025-000149,S0029113,2025FA,2025-26,1,1,7395,0,0
AID2025-000150,S0040030,2025FA,2025-26,1,1,7395,0,0
AID2025-000151,S0023989,2025FA,2025-26,0,0,0,1,5500
AID2025-000152,S0033454,2025FA,2025-26,0,0,0,0,0
AID2025-000153,S0004578,2025FA,2025-26,1,1,7395,0,0
AID2025-000154,S0018885,2025FA,2025-26,1,1,7395,1,5500
AID2025-000155,S0003328,2025FA,2025-26,1,0,0,0,0
AID2025-000156,S0029208,2025FA,2025-26,0,0,0,0,0
AID2025-000157,S0019235,2025FA,2025-26,0,0,0,1,5500
AID2025-000158,S0032063,2025FA,2025-26,1,1,7395,0,0
AID2025-000159,S0037671,2025FA,2025-26,0,0,0,0,0
AID2025-000160,S0028794,2025FA,2025-26,0,0,0,1,5500
AID2025-000161,S0032411,2025FA,2025-26,0,0,0,0,0
AID2025-000162,S0018079,2025FA,2025-26,0,0,0,0,0
AID2025-000163,S0023716,2025FA,2025-26,0,0,0,1,5500
AID2025-000164,S0033987,2025FA,2025-26,1,1,7395,0,0
AID2025-000165,S0028029,2025FA,2025-26,0,0,0,0,0
AID2025-000166,S0038416,2025FA,2025-26,1,1,7395,1,5500
AID2025-000167,S0028217,2025FA,2025-26,0,0,0,0,0
AID2025-000168,S0028286,2025FA,2025-26,0,0,0,0,0
AID2025-000169,S0033406,2025FA,2025-26,1,0,0,1,5500
AID2025-000170,S0039744,2025FA,2025-26,0,0,0,0,0
AID2025-000171,S0022806,2025FA,2025-26,1,1,7395,0,0
AID2025-000172,S0018463,2025FA,2025-26,0,0,0,1,5500
AID2025-000173,S0031262,2025FA,2025-26,0,0,0,0,0
AID2025-000174,S0038915,2025FA,2025-26,0,0,0,0,0
AID2025-000175,S0036632,2025FA,2025-26,0,0,0,1,5500
AID2025-000176,S0013530,2025FA,2025-26,0,0,0,0,0
AID2025-000177,S0039478,2025FA,2025-26,0,0,0,0,0
AID2025-000178,S0017426,2025FA,2025-26,1,1,7395,1,5500
AID2025-000179,S0037793,2025FA,2025-26,1,1,7395,0,0
AID2025-000180,S0033994,2025FA,2025-26,0,0,0,0,0
AID2025-000181,S0000009,2025FA,2025-26,0,0,0,1,5500
AID2025-000182,S0032082,2025FA,2025-26,0,0,0,0,0
AID2025-000183,S0021321,2025FA,2025-26,0,0,0,0,0
AID2025-000184,S0014270,2025FA,2025-26,1,1,7395,1,5500
AID2025-000185,S0029057,2025FA,2025-26,0,0,0,0,0
AID2025-000186,S0027895,2025FA,2025-26,0,0,0,0,0
AID2025-000187,S0010828,2025FA,2025-26,1,1,7395,1,5500
AID2025-000188,S0026657,2025FA,2025-26,0,0,0,0,0
AID2025-000189,S0037085,2025FA,2025-26,1,1,7395,0,0
AID2025-000190,S0039669,2025FA,2025-26,1,0,0,1,5500
AID2025-000191,S0035477,2025FA,2025-26,1,1,7395,0,0
AID2025-000192,S0039108,2025FA,2025-26,0,0,0,0,0
AID2025-000193,S0009622,2025FA,2025-26,0,0,0,1,5500
AID2025-000194,S0039377,2025FA,2025-26,0,0,0,0,0
AID2025-000195,S0011626,2025FA,2025-26,0,0,0,0,0
AID2025-000196,S0003512,2025FA,2025-26,0,0,0,1,5500
AID2025-000197,S0034159,2025FA,2025-26,1,0,0,0,0
AID2025-000198,S0026556,2025FA,2025-26,1,1,7395,0,0
AID2025-000199,S0036476,2025FA,2025-26,1,1,7395,1,5500
AID2025-000200,S0008766,2025FA,2025-26,1,1,7395,0,0
AID2025-000201,S0039877,2025FA,2025-26,0,0,0,0,0
AID2025-000202,S0040105,2025FA,2025-26,0,0,0,1,5500
AID2025-000203,S0038460,2025FA,2025-26,1,1,7395,0,0
AID2025-000204,S0022483,2025FA,2025-26,0,0,0,0,0
AID2025-000205,S0027753,2025FA,2025-26,0,0,0,1,5500
AID2025-000206,S0033377,2025FA,2025-26,0,0,0,0,0
AID2025-000207,S0028401,2025FA,2025-26,0,0,0,0,0
AID2025-000208,S0017902,2025FA,2025-26,0,0,0,1,5500
AID2025-000209,S0035741,2025FA,2025-26,0,0,0,0,0
AID2025-000210,S0026979,2025FA,2025-26,0,0,0,0,0
AID2025-000211,S0035303,2025FA,2025-26,1,0,0,1,5500
AID2025-000212,S0018179,2025FA,2025-26,0,0,0,0,0
AID2025-000213,S0039773,2025FA,2025-26,1,1,7395,0,0
AID2025-000214,S0027954,2025FA,2025-26,1,1,7395,1,5500
AID2025-000215,S0010251,2025FA,2025-26,1,1,7395,0,0
AID2025-000216,S0040608,2025FA,2025-26,0,0,0,0,0
AID2025-000217,S0034285,2025FA,2025-26,0,0,0,1,5500
AID2025-000218,S0018715,2025FA,2025-26,1,0,0,0,0
AID2025-000219,S0032758,2025FA,2025-26,1,1,7395,0,0
AID2025-000220,S0013981,2025FA,2025-26,0,0,0,1,5500
AID2025-000221,S0023120,2025FA,2025-26,0,0,0,0,0
AID2025-000222,S0035274,2025FA,2025-26,0,0,0,0,0
AID2025-000223,S0040532,2025FA,2025-26,1,1,7395,1,5500
AID2025-000224,S0029596,2025FA,2025-26,0,0,0,0,0
AID2025-000225,S0009460,2025FA,2025-26,1,0,0,0,0
AID2025-000226,S0031625,2025FA,2025-26,0,0,0,1,5500
AID2025-000227,S0028124,2025FA,2025-26,0,0,0,0,0
AID2025-000228,S0004100,2025FA,2025-26,1,1,7395,0,0
AID2025-000229,S0023431,2025FA,2025-26,0,0,0,1,5500
AID2025-000230,S0038973,2025FA,2025-26,0,0,0,0,0
AID2025-000231,S0026379,2025FA,2025-26,0,0,0,0,0
AID2025-000232,S0035874,2025FA,2025-26,0,0,0,1,5500
AID2025-000233,S0014933,2025FA,2025-26,0,0,0,0,0
AID2025-000234,S0039637,2025FA,2025-26,1,1,7395,0,0
AID2025-000235,S0027987,2025FA,2025-26,1,1,7395,1,5500
AID2025-000236,S0024417,2025FA,2025-26,1,1,7395,0,0
AID2025-000237,S0035760,2025FA,2025-26,1,1,7395,0,0
AID2025-000238,S0021579,2025FA,2025-26,0,0,0,1,5500
AID2025-000239,S0017286,2025FA,2025-26,1,0,0,0,0
AID2025-000240,S0027741,2025FA,2025-26,0,0,0,0,0
AID2025-000241,S0013298,2025FA,2025-26,0,0,0,1,5500
AID2025-000242,S0026166,2025FA,2025-26,1,1,7395,0,0
AID2025-000243,S0037862,2025FA,2025-26,0,0,0,0,0
AID2025-000244,S0022738,2025FA,2025-26,1,1,7395,1,5500
AID2025-000245,S0016443,2025FA,2025-26,1,1,7395,0,0
AID2025-000246,S0033449,2025FA,2025-26,1,0,0,0,0
AID2025-000247,S0017559,2025FA,2025-26,0,0,0,1,5500
AID2025-000248,S0032166,2025FA,2025-26,0,0,0,0,0
AID2025-000249,S0015344,2025FA,2025-26,0,0,0,0,0
AID2025-000250,S0035392,2025FA,2025-26,0,0,0,1,5500
AID2025-000251,S0021913,2025FA,2025-26,0,0,0,0,0
AID2025-000252,S0038926,2025FA,2025-26,0,0,0,0,0
AID2025-000253,S0038650,2025FA,2025-26,0,0,0,1,5500
AID2025-000254,S0038067,2025FA,2025-26,1,1,7395,0,0
AID2025-000255,S0021751,2025FA,2025-26,1,1,7395,0,0
AID2025-000256,S0038141,2025FA,2025-26,1,1,7395,1,5500
AID2025-000257,S0039081,2025FA,2025-26,1,1,7395,0,0
AID2025-000258,S0010301,2025FA,2025-26,1,1,7395,0,0
AID2025-000259,S0015271,2025FA,2025-26,0,0,0,1,5500
AID2025-000260,S0027138,2025FA,2025-26,0,0,0,0,0
AID2025-000261,S0039852,2025FA,2025-26,0,0,0,0,0
AID2025-000262,S0038206,2025FA,2025-26,0,0,0,1,5500
AID2025-000263,S0005887,2025FA,2025-26,1,1,7395,0,0
AID2025-000264,S0011143,2025FA,2025-26,0,0,0,0,0
AID2025-000265,S0037136,2025FA,2025-26,1,1,7395,1,5500
AID2025-000266,S0006109,2025FA,2025-26,0,0,0,0,0
AID2025-000267,S0039442,2025FA,2025-26,0,0,0,0,0
AID2025-000268,S0014774,2025FA,2025-26,0,0,0,1,5500
AID2025-000269,S0038637,2025FA,2025-26,0,0,0,0,0
AID2025-000270,S0001430,2025FA,2025-26,1,1,7395,0,0
AID2025-000271,S0038232,2025FA,2025-26,0,0,0,1,5500
AID2025-000272,S0033569,2025FA,2025-26,0,0,0,0,0
AID2025-000273,S0023676,2025FA,2025-26,0,0,0,0,0
AID2025-000274,S0033798,2025FA,2025-26,0,0,0,1,5500
AID2025-000275,S0024008,2025FA,2025-26,0,0,0,0,0
AID2025-000276,S0039624,2025FA,2025-26,0,0,0,0,0
AID2025-000277,S0017578,2025FA,2025-26,0,0,0,1,5500
AID2025-000278,S0030960,2025FA,2025-26,0,0,0,0,0
AID2025-000279,S0032928,2025FA,2025-26,1,1,7395,0,0
AID2025-000280,S0039441,2025FA,2025-26,1,1,7395,1,5500
AID2025-000281,S0033843,2025FA,2025-26,0,0,0,0,0
AID2025-000282,S0039702,2025FA,2025-26,0,0,0,0,0
AID2025-000283,S0021549,2025FA,2025-26,0,0,0,1,5500
AID2025-000284,S0034125,2025FA,2025-26,0,0,0,0,0
AID2025-000285,S0014128,2025FA,2025-26,1,1,7395,0,0
AID2025-000286,S0006262,2025FA,2025-26,0,0,0,1,5500
AID2025-000287,S0033252,2025FA,2025-26,1,1,7395,0,0
AID2025-000288,S0018572,2025FA,2025-26,1,0,0,0,0
AID2025-000289,S0034408,2025FA,2025-26,1,1,7395,1,5500
AID2025-000290,S0011806,2025FA,2025-26,0,0,0,0,0
AID2025-000291,S0034100,2025FA,2025-26,0,0,0,0,0
AID2025-000292,S0035476,2025FA,2025-26,0,0,0,1,5500
AID2025-000293,S0031907,2025FA,2025-26,1,1,7395,0,0
AID2025-000294,S0039951,2025FA,2025-26,0,0,0,0,0
AID2025-000295,S0032512,2025FA,2025-26,1,0,0,1,5500
AID2025-000296,S0034176,2025FA,2025-26,1,1,7395,0,0
AID2025-000297,S0013918,2025FA,2025-26,0,0,0,0,0
AID2025-000298,S0030730,2025FA,2025-26,0,0,0,1,5500
AID2025-000299,S0010000,2025FA,2025-26,0,0,0,0,0
AID2025-000300,S0012875,2025FA,2025-26,0,0,0,0,0
AID2025-000301,S0001222,2025FA,2025-26,0,0,0,1,5500
AID2025-000302,S0004784,2025FA,2025-26,1,0,0,0,0
AID2025-000303,S0037950,2025FA,2025-26,0,0,0,0,0
AID2025-000304,S0013796,2025FA,2025-26,0,0,0,1,5500
AID2025-000305,S0034135,2025FA,2025-26,0,0,0,0,0
AID2025-000306,S0030642,2025FA,2025-26,1,1,7395,0,0
AID2025-000307,S0032962,2025FA,2025-26,0,0,0,1,5500
AID2025-000308,S0028152,2025FA,2025-26,0,0,0,0,0
AID2025-000309,S0000167,2025FA,2025-26,0,0,0,0,0
AID2025-000310,S0036404,2025FA,2025-26,0,0,0,1,5500
AID2025-000311,S0031646,2025FA,2025-26,0,0,0,0,0
AID2025-000312,S0003561,2025FA,2025-26,0,0,0,0,0
AID2025-000313,S0026233,2025FA,2025-26,0,0,0,1,5500
AID2025-000314,S0010494,2025FA,2025-26,1,1,7395,0,0
AID2025-000315,S0015009,2025FA,2025-26,0,0,0,0,0
AID2025-000316,S0036229,2025FA,2025-26,0,0,0,1,5500
AID2025-000317,S0036994,2025FA,2025-26,0,0,0,0,0
AID2025-000318,S0023371,2025FA,2025-26,0,0,0,0,0
AID2025-000319,S0014543,2025FA,2025-26,0,0,0,1,5500
AID2025-000320,S0034097,2025FA,2025-26,0,0,0,0,0
AID2025-000321,S0003562,2025FA,2025-26,0,0,0,0,0
AID2025-000322,S0031573,2025FA,2025-26,1,1,7395,1,5500
AID2025-000323,S0012536,2025FA,2025-26,0,0,0,0,0
AID2025-000324,S0026212,2025FA,2025-26,0,0,0,0,0
AID2025-000325,S0019593,2025FA,2025-26,0,0,0,1,5500
AID2025-000326,S0029537,2025FA,2025-26,0,0,0,0,0
AID2025-000327,S0012701,2025FA,2025-26,1,1,7395,0,0
AID2025-000328,S0031271,2025FA,2025-26,0,0,0,1,5500
AID2025-000329,S0032502,2025FA,2025-26,0,0,0,0,0
AID2025-000330,S0012476,2025FA,2025-26,0,0,0,0,0
AID2025-000331,S0038842,2025FA,2025-26,0,0,0,1,5500
AID2025-000332,S0022606,2025FA,2025-26,1,1,7395,0,0
AID2025-000333,S0023348,2025FA,2025-26,0,0,0,0,0
AID2025-000334,S0040359,2025FA,2025-26,0,0,0,1,5500
AID2025-000335,S0022978,2025FA,2025-26,1,1,7395,0,0
AID2025-000336,S0034174,2025FA,2025-26,1,1,7395,0,0
AID2025-000337,S0012212,2025FA,2025-26,0,0,0,1,5500
AID2025-000338,S0018309,2025FA,2025-26,0,0,0,0,0
AID2025-000339,S0031501,2025FA,2025-26,1,1,7395,0,0
AID2025-000340,S0033981,2025FA,2025-26,0,0,0,1,5500
AID2025-000341,S0005390,2025FA,2025-26,0,0,0,0,0
AID2025-000342,S0036891,2025FA,2025-26,1,1,7395,0,0
AID2025-000343,S0009536,2025FA,2025-26,0,0,0,1,5500
AID2025-000344,S0024189,2025FA,2025-26,0,0,0,0,0
AID2025-000345,S0006391,2025FA,2025-26,1,1,7395,0,0
AID2025-000346,S0012725,2025FA,2025-26,0,0,0,1,5500
AID2025-000347,S0009025,2025FA,2025-26,0,0,0,0,0
AID2025-000348,S0017699,2025FA,2025-26,0,0,0,0,0
AID2025-000349,S0021517,2025FA,2025-26,0,0,0,1,5500
AID2025-000350,S0032665,2025FA,2025-26,0,0,0,0,0
AID2025-000351,S0031555,2025FA,2025-26,1,0,0,0,0
AID2025-000352,S0004037,2025FA,2025-26,0,0,0,1,5500
AID2025-000353,S0017950,2025FA,2025-26,1,1,7395,0,0
AID2025-000354,S0007883,2025FA,2025-26,1,1,7395,0,0
AID2025-000355,S0031322,2025FA,2025-26,0,0,0,1,5500
AID2025-000356,S0019490,2025FA,2025-26,0,0,0,0,0
AID2025-000357,S0000207,2025FA,2025-26,0,0,0,0,0
AID2025-000358,S0021821,2025FA,2025-26,0,0,0,1,5500
AID2025-000359,S0026714,2025FA,2025-26,0,0,0,0,0
AID2025-000360,S0029085,2025FA,2025-26,0,0,0,0,0
AID2025-000361,S0032140,2025FA,2025-26,0,0,0,1,5500
AID2025-000362,S0038103,2025FA,2025-26,0,0,0,0,0
AID2025-000363,S0032574,2025FA,2025-26,0,0,0,0,0
AID2025-000364,S0040316,2025FA,2025-26,0,0,0,1,5500
AID2025-000365,S0027508,2025FA,2025-26,1,1,7395,0,0
AID2025-000366,S0023968,2025FA,2025-26,0,0,0,0,0
AID2025-000367,S0037116,2025FA,2025-26,0,0,0,1,5500
AID2025-000368,S0033519,2025FA,2025-26,0,0,0,0,0
AID2025-000369,S0007538,2025FA,2025-26,0,0,0,0,0
AID2025-000370,S0032696,2025FA,2025-26,1,1,7395,1,5500
AID2025-000371,S0040333,2025FA,2025-26,0,0,0,0,0
AID2025-000372,S0004732,2025FA,2025-26,1,0,0,0,0
AID2025-000373,S0038017,2025FA,2025-26,1,1,7395,1,5500
AID2025-000374,S0009341,2025FA,2025-26,1,1,7395,0,0
AID2025-000375,S0029243,2025FA,2025-26,0,0,0,0,0
AID2025-000376,S0031697,2025FA,2025-26,0,0,0,1,5500
AID2025-000377,S0011037,2025FA,2025-26,1,1,7395,0,0
AID2025-000378,S0021501,2025FA,2025-26,1,1,7395,0,0
AID2025-000379,S0040253,2025FA,2025-26,0,0,0,1,5500
AID2025-000380,S0025456,2025FA,2025-26,1,1,7395,0,0
AID2025-000381,S0008753,2025FA,2025-26,0,0,0,0,0
AID2025-000382,S0028798,2025FA,2025-26,1,1,7395,1,5500
AID2025-000383,S0026134,2025FA,2025-26,0,0,0,0,0
AID2025-000384,S0013432,2025FA,2025-26,0,0,0,0,0
AID2025-000385,S0001993,2025FA,2025-26,1,1,7395,1,5500
AID2025-000386,S0004909,2025FA,2025-26,0,0,0,0,0
AID2025-000387,S0037537,2025FA,2025-26,1,1,7395,0,0
AID2025-000388,S0033856,2025FA,2025-26,1,1,7395,1,5500
AID2025-000389,S0019623,2025FA,2025-26,0,0,0,0,0
AID2025-000390,S0023492,2025FA,2025-26,0,0,0,0,0
AID2025-000391,S0032380,2025FA,2025-26,0,0,0,1,5500
AID2025-000392,S0027793,2025FA,2025-26,0,0,0,0,0
AID2025-000393,S0029370,2025FA,2025-26,0,0,0,0,0
AID2025-000394,S0012262,2025FA,2025-26,0,0,0,1,5500
AID2025-000395,S0029235,2025FA,2025-26,0,0,0,0,0
AID2025-000396,S0039287,2025FA,2025-26,1,1,7395,0,0
AID2025-000397,S0036012,2025FA,2025-26,1,1,7395,1,5500
AID2025-000398,S0037902,2025FA,2025-26,0,0,0,0,0
AID2025-000399,S0039972,2025FA,2025-26,0,0,0,0,0
AID2025-000400,S0028876,2025FA,2025-26,0,0,0,1,5500
AID2025-000401,S0016868,2025FA,2025-26,1,1,7395,0,0
AID2025-000402,S0015346,2025FA,2025-26,0,0,0,0,0
AID2025-000403,S0010385,2025FA,2025-26,0,0,0,1,5500
AID2025-000404,S0025666,2025FA,2025-26,0,0,0,0,0
AID2025-000405,S0006844,2025FA,2025-26,0,0,0,0,0
AID2025-000406,S0034061,2025FA,2025-26,0,0,0,1,5500
AID2025-000407,S0033648,2025FA,2025-26,0,0,0,0,0
AID2025-000408,S0022845,2025FA,2025-26,0,0,0,0,0
AID2025-000409,S0038494,2025FA,2025-26,1,1,7395,1,5500
AID2025-000410,S0012953,2025FA,2025-26,0,0,0,0,0
AID2025-000411,S0036992,2025FA,2025-26,1,1,7395,0,0
AID2025-000412,S0016108,2025FA,2025-26,1,1,7395,1,5500
AID2025-000413,S0027659,2025FA,2025-26,0,0,0,0,0
